id,collection,title,artist,rarity,mosaic,year,technique,movement,country,museum,aboutLen,missing
"col-1-la-gioconda-mona-lisa","col-1","La Gioconda (Mona Lisa)","Leonardo da Vinci","unique","yes","1503","óleo, panel de álamo, madera","Renacimiento italiano","Francia","Museo del Louvre","894",""
"col-1-el-nacimiento-de-venus","col-1","El nacimiento de Venus","Sandro Botticelli","legendary","yes","1480","témpera, lienzo","Primer Renacimiento","Italia","Galería Uffizi","894",""
"col-1-la-creacion-de-adan","col-1","La creación de Adán","Miguel Ángel","legendary","yes","1511","fresco","Alto Renacimiento","Ciudad del Vaticano","Capilla Sixtina","483",""
"col-1-la-ultima-cena","col-1","La última cena","Leonardo da Vinci","epic","yes","1490","","","fallback","","696",""
"col-1-la-escuela-de-atenas","col-1","La escuela de Atenas","Rafael","epic","yes","1512","fresco","Alto Renacimiento","Ciudad del Vaticano","Palacio Apostólico Vaticano","838",""
"col-1-el-jardin-de-las-delicias-p1","col-1","El jardín de las delicias","El Bosco","epic","yes","1490","óleo, tabla","Primitivo flamenco","España","Palacio de Coudenberg","895",""
"col-1-el-jardin-de-las-delicias-p2","col-1","El jardín de las delicias","El Bosco","epic","yes","1490","óleo, tabla","Primitivo flamenco","España","Palacio de Coudenberg","895",""
"col-1-el-jardin-de-las-delicias-p3","col-1","El jardín de las delicias","El Bosco","epic","yes","1490","óleo, tabla","Primitivo flamenco","España","Palacio de Coudenberg","895",""
"col-1-el-matrimonio-arnolfini","col-1","El matrimonio Arnolfini","Jan van Eyck","epic","yes","1434","óleo, panel de roble","Primitivo flamenco","fallback","National Gallery de Londres","890",""
"col-1-la-primavera","col-1","La primavera","Sandro Botticelli","epic","yes","1480","témpera, tabla, yeso","Primer Renacimiento","Italia","Galería Uffizi","493",""
"col-1-la-dama-del-armino","col-1","La dama del armiño","Leonardo da Vinci","rare","yes","1490","óleo, tabla de nogal, témpera, tabla","Alto Renacimiento","fallback","Museo Czartoryski","819",""
"col-1-la-virgen-de-las-rocas","col-1","La Virgen de las rocas","Leonardo da Vinci","rare","yes","","","","fallback","","896",""
"col-1-la-transfiguracion","col-1","La Transfiguración","Rafael","rare","yes","1518","óleo, tabla","pintura renacentista de Italia","Ciudad del Vaticano","Pinacoteca Vaticana","897",""
"col-1-la-venus-de-urbino","col-1","La Venus de Urbino","Tiziano","rare","yes","1538","óleo, lienzo","escuela veneciana","República de Venecia","Galería Uffizi","1070",""
"col-1-los-embajadores","col-1","Los embajadores","Hans Holbein el Joven","rare","yes","1533","óleo, panel de roble","manierismo","fallback","National Gallery de Londres","438",""
"col-1-la-torre-de-babel","col-1","La torre de Babel","Pieter Bruegel el Viejo","rare","yes","1563","óleo","","fallback","","1060",""
"col-1-los-cazadores-en-la-nieve","col-1","Los cazadores en la nieve","Pieter Bruegel el Viejo","rare","yes","1565","óleo, tabla","Renacimiento nórdico","fallback","Museo de Historia del Arte de Viena","894",""
"col-1-el-descendimiento","col-1","El descendimiento","Rogier van der Weyden","rare","yes","1440","óleo, tabla","Primitivo flamenco","fallback","Museo del Prado","407",""
"col-1-autorretrato-con-pelliza","col-1","Autorretrato con pelliza","Alberto Durero","rare","yes","1500","óleo, lime panel","Renacimiento alemán","Alemania","Colecciones de Pinturas del Estado de Baviera","429",""
"col-1-la-tempestad","col-1","La tempestad","Giorgione","rare","yes","1506","óleo, lienzo","Alto Renacimiento","fallback","Galería de la Academia de Venecia","607",""
"col-1-cristo-muerto","col-1","Cristo muerto","Andrea Mantegna","rare","yes","1483","témpera, lienzo","pintura renacentista de Italia","Italia","Pinacoteca de Brera","895",""
"col-1-el-festin-de-los-dioses","col-1","El festín de los dioses","Giovanni Bellini y Tiziano","rare","yes","1514","óleo, lienzo","escuela veneciana","Italia","Galería Nacional de Arte","806",""
"col-1-ginevra-de-benci","col-1","Ginevra de’ Benci","Leonardo da Vinci","common","yes","1476","óleo, tabla","Renacimiento florentino","fallback","Galería Nacional de Arte","368",""
"col-1-san-juan-bautista","col-1","San Juan Bautista","Leonardo da Vinci","rare","yes","1514","tabla, óleo","Alto Renacimiento","fallback","Museo del Louvre","621",""
"col-1-la-virgen-del-jilguero","col-1","La Virgen del jilguero","Rafael","common","yes","1505","óleo, tabla","Alto Renacimiento","fallback","Palazzo Nasi","300",""
"col-1-la-bella-jardinera","col-1","La bella jardinera","Rafael","common","yes","1500","óleo, panel de álamo","Alto Renacimiento","fallback","Museo del Louvre","346",""
"col-1-retrato-de-baldassare-castiglione","col-1","Retrato de Baldassare Castiglione","Rafael","common","yes","1515","óleo, lienzo","","fallback","Museo del Louvre","367",""
"col-1-venus-y-marte","col-1","Venus y Marte","Sandro Botticelli","common","yes","1485","témpera, óleo, panel de álamo, yeso","Primer Renacimiento","fallback","National Gallery de Londres","689",""
"col-1-la-adoracion-de-los-magos","col-1","La adoración de los Magos","Sandro Botticelli","common","yes","1475","témpera, tabla","Primer Renacimiento","Italia","Galería Uffizi","589",""
"col-1-retrato-de-un-hombre-con-medalla-de-cosm","col-1","Retrato de un hombre con medalla de Cosme el Viejo","Sandro Botticelli","common","yes","1474","témpera, tabla","Primer Renacimiento","Italia","Galería Uffizi","533",""
"col-1-el-juicio-final","col-1","El Juicio Final","Miguel Ángel","epic","yes","1600","fresco","Renacimiento italiano","Ciudad del Vaticano","Museos Vaticanos","561",""
"col-1-amor-sacro-y-amor-profano-p1","col-1","Amor sacro y amor profano","Tiziano","common","yes","1514","óleo, lienzo","escuela veneciana","Italia","Galería Borghese","501",""
"col-1-amor-sacro-y-amor-profano-p2","col-1","Amor sacro y amor profano","Tiziano","common","yes","1514","óleo, lienzo","escuela veneciana","Italia","Galería Borghese","501",""
